freq,Pn,Ps
0.2693,19,14
0.27,13,17
0.2708,15,16
0.2716,9,29
0.2723,18,20
0.2731,9,16
0.2738,16,20
0.2746,9,11
0.2753,17,14
0.2761,9,14
0.2769,15,18
0.2776,17,16
0.2784,17,21
0.2791,10,26
0.2799,13,28
0.2806,13,24
0.2814,20,21
0.2821,15,27
0.2829,13,26
0.2837,13,16
0.2844,12,13
0.2852,19,23
0.2859,19,21
0.2867,14,22
0.2874,14,16
0.2882,16,13
0.289,9,24
0.2897,19,16
0.2905,13,16
0.2912,8,13
0.292,19,23
0.2927,10,19
0.2935,14,21
0.2943,16,16
0.295,17,27
0.2958,14,19
0.2965,21,10
0.2973,6,21
0.298,15,14
0.2988,11,14
0.2995,11,12
0.3003,15,20
0.3011,16,20
0.3018,17,15
0.3026,19,18
0.3033,16,23
0.3041,9,16
0.3048,10,13
0.3056,15,17
0.3064,12,16
0.3071,10,14
0.3079,8,13
0.3086,16,21
0.3094,11,13
0.3101,6,16
0.3109,10,19
0.3116,9,12
0.3124,14,19
0.3132,9,15
0.3139,12,15
0.3147,5,17
0.3154,11,18
0.3162,7,22
0.3169,18,12
0.3177,18,22
0.3185,10,19
0.3192,13,13
0.32,9,20
0.3207,7,7
0.3215,9,19
0.3222,15,16
0.323,9,16
0.3238,18,10
0.3245,14,17
0.3253,10,12
0.326,17,14
0.3268,7,6
0.3275,15,14
0.3283,16,9
0.329,7,13
0.3298,14,23
0.3306,12,21
0.3313,16,20
0.3321,15,19
0.3328,11,12
0.3336,9,7
0.3343,13,22
0.3351,10,13
0.3359,10,17
0.3366,11,11
0.3374,7,10
0.3381,12,16
0.3389,13,21
0.3396,17,22
0.3404,10,20
0.3411,13,12
0.3419,11,8
0.3427,16,11
0.3434,11,13
0.3442,9,9
0.3449,15,15
0.3457,14,13
0.3464,7,13
0.3472,11,17
0.348,9,23
0.3487,7,12
0.3495,9,15
0.3502,6,10
0.351,10,9
0.3517,4,16
0.3525,10,14
0.3533,8,8
0.354,12,12
0.3548,9,13
0.3555,12,14
0.3563,12,13
0.357,14,14
0.3578,10,15
0.3585,18,5
0.3593,11,13
0.3601,14,11
0.3608,9,12
0.3616,6,14
0.3623,16,24
0.3631,6,15
0.3638,10,9
0.3646,13,15
0.3654,13,16
0.3661,7,15
0.3669,8,11
0.3676,6,8
0.3684,6,17
0.3691,14,9
0.3699,6,11
0.3707,6,15
0.3714,6,18
0.3722,6,11
0.3729,5,10
0.3737,7,7
0.3744,13,9
0.3752,7,13
0.3759,6,15
0.3767,7,16
0.3775,11,15
0.3782,15,10
0.379,9,11
0.3797,8,6
0.3805,6,8
0.3812,15,13
0.382,12,19
0.3828,6,14
0.3835,9,14
0.3843,7,14
0.385,11,18
0.3858,12,10
0.3865,9,10
0.3873,14,4
0.388,10,12
0.3888,6,5
0.3896,5,6
0.3903,6,12
0.3911,8,14
0.3918,10,11
0.3926,12,10
0.3933,10,11
0.3941,8,8
0.3949,7,11
0.3956,6,11
0.3964,6,9
0.3971,10,13
0.3979,5,14
0.3986,6,11
0.3994,13,12
0.4002,4,6
0.4009,13,11
0.4017,3,12
0.4024,7,18
0.4032,9,8
0.4039,11,12
0.4047,8,15
0.4054,7,12
0.4062,12,7
0.407,9,4
0.4077,9,11
0.4085,4,6
0.4092,10,11
0.41,10,13
0.4107,7,15
0.4115,7,8
0.4123,7,9
0.413,7,19
0.4138,14,6
0.4145,6,16
0.4153,11,8
0.416,9,10
0.4168,5,4
0.4175,5,18
0.4183,6,6
0.4191,7,8
0.4198,10,12
0.4206,9,9
0.4213,9,16
0.4221,7,14
0.4228,11,17
0.4236,8,15
0.4244,8,16
0.4251,12,18
0.4259,8,8
0.4266,8,14
0.4274,10,13
0.4281,6,13
0.4289,5,10
0.4297,10,14
0.4304,11,12
0.4312,8,11
0.4319,14,6
0.4327,5,11
0.4334,7,12
0.4342,8,7
0.4349,9,8
0.4357,7,9
0.4365,5,11
0.4372,12,13
0.438,8,10
0.4387,12,13
0.4395,5,13
0.4402,7,10
0.441,7,10
0.4418,11,11
0.4425,12,9
0.4433,4,7
0.444,8,4
0.4448,3,11
0.4455,11,13
0.4463,8,13
0.447,13,10
0.4478,9,9
0.4486,5,12
0.4493,5,16
0.4501,6,9
0.4508,7,10
0.4516,6,12
0.4523,10,7
0.4531,10,13
0.4539,8,9
0.4546,8,10
0.4554,6,10
0.4561,9,11
0.4569,2,14
0.4576,11,17
0.4584,4,12
0.4592,6,10
0.4599,9,13
0.4607,7,13
0.4614,6,12
0.4622,10,7
0.4629,9,4
0.4637,3,5
0.4644,7,10
0.4652,10,9
0.466,4,7
0.4667,11,9
0.4675,8,8
0.4682,10,13
0.469,7,6
0.4697,6,11
0.4705,7,7
0.4713,7,9
0.472,4,5
0.4728,10,11
0.4735,7,8
0.4743,5,9
0.475,7,12
0.4758,10,12
0.4766,9,5
0.4773,9,5
0.4781,12,7
0.4788,3,17
0.4796,11,8
0.4803,6,10
0.4811,7,10
0.4818,8,9
0.4826,4,12
0.4834,4,10
0.4841,10,9
0.4849,7,14
0.4856,7,15
0.4864,2,8
0.4871,6,12
0.4879,6,6
0.4887,11,10
0.4894,7,8
0.4902,5,6
0.4909,5,8
0.4917,8,6
0.4924,9,11
0.4932,4,7
0.4939,4,10
0.4947,9,15
0.4955,8,7
0.4962,7,16
0.497,6,9
0.4977,4,7
0.4985,6,9
0.4992,6,6
0.5,4,12
0.5008,8,9
0.5015,8,9
0.5023,7,7
0.503,5,12
0.5038,3,7
0.5045,2,6
0.5053,5,13
0.5061,9,12
0.5068,8,6
0.5076,6,11
0.5083,5,8
0.5091,6,9
0.5098,2,12
0.5106,7,11
0.5113,9,11
0.5121,5,9
0.5129,9,6
0.5136,8,9
0.5144,7,9
0.5151,5,10
0.5159,7,3
0.5166,7,13
0.5174,3,11
0.5182,5,9
0.5189,3,9
0.5197,8,6
0.5204,12,16
0.5212,3,11
0.5219,5,9
0.5227,6,9
0.5234,5,12
0.5242,3,10
0.525,2,12
0.5257,6,6
0.5265,8,7
0.5272,3,10
0.528,12,18
0.5287,1,10
0.5295,5,5
0.5303,8,6
0.531,6,8
0.5318,7,9
0.5325,5,13
0.5333,5,7
0.534,10,15
