	sfsN_d	sfsN_a	sfsN	sfsS
0	57254	1381	58635	66716
1	21161	730	21891	32329
2	11757	465	12222	21099
3	7764	373	8137	15576
4	5607	265	5872	12095
5	4289	276	4565	9905
6	3399	217	3616	8218
7	2813	182	2995	6828
8	2428	151	2579	6184
9	2028	146	2174	5342
10	1788	124	1912	4882
11	1598	148	1746	4419
12	1439	119	1558	3859
13	1210	109	1319	3605
14	1103	95	1198	3259
15	971	108	1079	3043
16	949	100	1049	2892
17	857	74	931	2571
18	786	77	863	2461
19	715	66	781	2267
20	660	80	740	2099
21	639	89	728	1994
22	564	77	641	1848
23	558	69	627	1795
24	507	78	585	1632
25	475	60	535	1583
26	428	68	496	1521
27	404	53	457	1464
28	380	75	455	1358
29	378	52	430	1366
30	367	65	432	1267
31	322	59	381	1211
32	339	66	405	1076
33	326	50	376	1105
34	287	48	335	1045
35	284	56	340	1002
36	265	49	314	976
37	276	44	320	941
38	265	51	316	896
39	228	46	274	911
40	220	49	269	874
41	198	44	242	823
42	197	46	243	780
43	212	45	257	769
44	214	35	249	780
45	178	47	225	664
46	162	46	208	715
47	185	38	223	662
48	162	35	197	640
49	170	51	221	667
50	159	44	203	568
51	165	41	206	594
52	155	40	195	578
53	145	24	169	569
54	138	43	181	499
55	151	31	182	559
56	156	44	200	514
57	113	38	151	528
58	120	31	151	499
59	109	39	148	497
60	117	24	141	478
61	134	33	167	438
62	104	40	144	471
63	115	36	151	464
64	100	38	138	435
65	98	34	132	415
66	113	31	144	404
67	97	35	132	416
68	88	36	124	417
69	95	30	125	358
70	106	34	140	390
71	83	32	115	367
72	95	26	121	383
73	110	34	144	343
74	80	32	112	322
75	81	36	117	381
76	94	34	128	365
77	101	35	136	368
78	81	23	104	340
79	78	38	116	355
80	79	26	105	310
81	75	36	111	323
82	68	30	98	317
83	70	40	110	299
84	85	35	120	312
85	74	42	116	276
86	70	25	95	289
87	66	33	99	278
88	69	30	99	306
89	60	22	82	290
90	79	22	101	272
91	66	25	91	275
92	67	31	98	289
93	57	25	82	286
94	57	30	87	255
95	65	38	103	235
96	65	41	106	248
97	52	32	84	225
98	65	29	94	233
99	60	26	86	260
100	53	22	75	228
101	78	31	109	294
102	55	19	74	243
103	48	32	80	242
104	56	28	84	222
105	57	42	99	234
106	64	37	101	233
107	50	32	82	236
108	56	32	88	240
109	53	22	75	243
110	63	18	81	206
111	46	39	85	190
112	40	39	79	209
113	44	26	70	192
114	39	23	62	227
115	46	26	72	189
116	54	34	88	206
117	49	30	79	216
118	62	20	82	203
119	50	39	89	201
120	48	24	72	202
121	51	26	77	203
122	55	35	90	186
123	47	33	80	217
124	44	36	80	192
125	45	39	84	199
126	45	25	70	198
127	37	35	72	188
128	38	24	62	211
129	44	40	84	176
130	41	29	70	177
131	40	37	77	192
132	44	34	78	187
133	51	39	90	182
134	46	30	76	196
135	42	40	82	182
136	37	29	66	220
137	39	33	72	171
138	53	33	86	181
139	35	35	70	181
140	36	37	73	194
141	53	22	75	191
142	42	37	79	161
143	44	38	82	177
144	47	32	79	180
145	35	32	67	172
146	48	43	91	171
147	45	30	75	194
148	40	45	85	178
149	39	39	78	200
150	44	37	81	178
151	46	52	98	196
152	44	33	77	164
153	42	39	81	170
154	33	36	69	195
155	44	50	94	167
156	32	44	76	169
157	35	42	77	161
158	43	43	86	171
159	46	49	95	176
160	51	29	80	204
161	44	50	94	197
162	34	44	78	188
163	33	55	88	178
164	35	49	84	193
165	58	42	100	197
166	38	53	91	173
167	41	47	88	194
168	43	56	99	204
169	36	47	83	181
170	48	35	83	185
171	44	51	95	175
172	48	63	111	206
173	46	52	98	186
174	40	69	109	184
175	41	56	97	221
176	48	72	120	180
177	43	63	106	182
178	41	77	118	196
179	44	56	100	202
180	54	62	116	162
181	43	77	120	215
182	46	66	112	199
183	52	80	132	182
184	47	76	123	198
185	55	88	143	220
186	45	89	134	208
187	46	97	143	204
188	54	99	153	189
189	49	120	169	214
190	48	138	186	206
191	46	121	167	226
192	40	140	180	243
193	59	152	211	247
194	37	145	182	245
195	69	174	243	261
196	49	164	213	244
197	54	200	254	248
198	86	220	306	277
199	58	254	312	311
