	sfsN_d	sfsN_a	sfsN	sfsS
0	38201	1643	39844	36544
1	8491	836	9327	10739
2	3279	557	3836	4430
3	1690	441	2131	2503
4	1061	343	1404	1603
5	695	247	942	1097
6	463	234	697	708
7	340	194	534	581
8	290	168	458	458
9	213	149	362	387
10	185	128	313	324
11	136	124	260	259
12	121	116	237	240
13	98	113	211	160
14	103	125	228	162
15	99	101	200	131
16	71	88	159	123
17	65	78	143	134
18	80	93	173	111
19	42	67	109	107
20	52	64	116	89
21	46	86	132	104
22	40	70	110	91
23	48	62	110	85
24	43	64	107	61
25	42	58	100	66
26	27	70	97	63
27	27	38	65	66
28	23	66	89	50
29	33	63	96	50
30	26	62	88	52
31	24	50	74	56
32	29	41	70	43
33	28	57	85	44
34	26	45	71	45
35	29	45	74	31
36	15	40	55	49
37	21	46	67	29
38	20	51	71	27
39	24	45	69	36
40	11	48	59	35
41	21	47	68	42
42	16	37	53	32
43	11	36	47	16
44	14	39	53	28
45	13	49	62	26
46	19	37	56	36
47	15	43	58	27
48	9	38	47	23
49	18	37	55	25
50	13	36	49	25
51	15	16	31	21
52	14	29	43	27
53	15	29	44	24
54	8	33	41	20
55	12	29	41	23
56	7	34	41	15
57	14	27	41	22
58	12	35	47	13
59	9	37	46	23
60	6	27	33	23
61	12	33	45	20
62	12	42	54	15
63	10	21	31	19
64	12	22	34	16
65	10	33	43	15
66	11	38	49	14
67	14	25	39	15
68	6	26	32	15
69	12	27	39	15
70	15	33	48	22
71	5	25	30	10
72	9	26	35	17
73	10	28	38	9
74	10	28	38	18
75	7	25	32	9
76	3	35	38	18
77	10	31	41	14
78	7	34	41	21
79	4	31	35	15
80	5	31	36	7
81	13	37	50	11
82	6	18	24	14
83	7	26	33	15
84	5	33	38	11
85	6	21	27	11
86	9	29	38	12
87	5	22	27	17
88	4	37	41	14
89	4	22	26	11
90	8	27	35	7
91	10	41	51	12
92	5	30	35	12
93	8	21	29	7
94	9	20	29	11
95	10	24	34	8
96	7	24	31	15
97	5	25	30	16
98	2	29	31	14
99	9	17	26	11
100	8	27	35	17
101	2	30	32	9
102	7	23	30	10
103	6	26	32	11
104	8	39	47	11
105	7	27	34	10
106	7	29	36	12
107	5	26	31	15
108	3	34	37	7
109	4	19	23	10
110	6	31	37	8
111	6	36	42	16
112	8	33	41	13
113	6	23	29	14
114	7	22	29	5
115	9	27	36	12
116	11	34	45	13
117	5	21	26	8
118	8	20	28	11
119	9	30	39	13
120	4	26	30	10
121	7	26	33	17
122	6	17	23	9
123	6	18	24	10
124	5	24	29	8
125	3	25	28	12
126	5	27	32	10
127	2	36	38	8
128	4	34	38	6
129	6	28	34	9
130	3	29	32	13
131	5	20	25	9
132	5	31	36	11
133	1	24	25	11
134	6	23	29	8
135	10	25	35	10
136	2	32	34	6
137	1	37	38	8
138	5	28	33	7
139	5	31	36	11
140	1	35	36	13
141	6	29	35	5
142	4	31	35	9
143	7	41	48	8
144	8	26	34	14
145	2	27	29	6
146	6	39	45	9
147	4	32	36	5
148	4	35	39	11
149	7	33	40	11
150	1	32	33	9
151	3	40	43	9
152	6	33	39	7
153	4	35	39	5
154	2	31	33	10
155	4	37	41	11
156	10	30	40	7
157	5	31	36	6
158	5	44	49	12
159	6	35	41	14
160	6	36	42	15
161	6	45	51	9
162	4	46	50	17
163	6	44	50	15
164	6	44	50	13
165	7	42	49	12
166	4	43	47	11
167	7	50	57	15
168	4	49	53	13
169	4	44	48	8
170	6	47	53	13
171	3	45	48	11
172	4	48	52	9
173	4	47	51	12
174	4	51	55	12
175	8	63	71	7
176	11	63	74	18
177	8	61	69	18
178	5	69	74	8
179	5	70	75	16
180	8	75	83	11
181	6	51	57	12
182	3	78	81	13
183	8	87	95	19
184	6	98	104	19
185	14	94	108	24
186	6	81	87	18
187	8	100	108	22
188	7	100	107	33
189	10	132	142	28
190	12	120	132	27
191	10	119	129	25
192	19	158	177	31
193	15	181	196	26
194	26	236	262	33
195	21	272	293	50
196	25	357	382	49
197	30	466	496	61
198	43	622	665	84
199	68	1272	1340	147
