	sfsN_d	sfsN_a	sfsN	sfsS
0	57944	149	58093	67981
1	21483	78	21561	33463
2	12155	44	12199	22229
3	8179	26	8205	16330
4	6154	25	6179	13312
5	4803	16	4819	11047
6	3873	25	3898	9387
7	3240	20	3260	8302
8	2838	15	2853	7354
9	2387	10	2397	6545
10	2160	13	2173	5959
11	1894	13	1907	5411
12	1761	10	1771	5111
13	1567	9	1576	4690
14	1400	9	1409	4286
15	1286	9	1295	4122
16	1166	9	1175	3864
17	1128	4	1132	3517
18	1067	9	1076	3338
19	992	6	998	3132
20	938	7	945	2953
21	892	13	905	2923
22	820	7	827	2805
23	781	7	788	2628
24	756	4	760	2573
25	693	2	695	2526
26	663	6	669	2355
27	624	5	629	2366
28	617	7	624	2181
29	632	4	636	2143
30	544	5	549	2018
31	527	4	531	1992
32	504	5	509	1919
33	485	5	490	1893
34	451	3	454	1778
35	416	2	418	1739
36	459	4	463	1658
37	443	2	445	1652
38	416	1	417	1609
39	403	3	406	1554
40	424	3	427	1598
41	375	3	378	1501
42	392	8	400	1413
43	357	5	362	1379
44	375	4	379	1426
45	326	2	328	1408
46	330	6	336	1269
47	311	0	311	1250
48	306	2	308	1284
49	326	2	328	1229
50	315	3	318	1258
51	300	1	301	1203
52	314	4	318	1247
53	290	4	294	1162
54	275	3	278	1132
55	281	5	286	1089
56	254	5	259	1094
57	238	7	245	1094
58	250	4	254	1049
59	258	3	261	1043
60	230	1	231	1015
61	226	2	228	1058
62	218	5	223	1005
63	208	7	215	979
64	223	4	227	959
65	181	1	182	955
66	197	1	198	929
67	202	2	204	867
68	223	2	225	909
69	204	8	212	896
70	205	1	206	876
71	213	0	213	852
72	170	1	171	805
73	193	5	198	895
74	183	1	184	783
75	186	1	187	787
76	169	3	172	757
77	173	3	176	807
78	170	4	174	784
79	152	3	155	785
80	172	3	175	758
81	186	1	187	770
82	164	2	166	745
83	151	2	153	772
84	162	3	165	727
85	131	3	134	678
86	147	4	151	718
87	153	2	155	717
88	142	3	145	706
89	135	1	136	722
90	148	2	150	677
91	150	0	150	711
92	149	3	152	718
93	129	1	130	654
94	144	1	145	605
95	124	2	126	671
96	116	1	117	645
97	116	3	119	631
98	151	2	153	601
99	131	4	135	596
100	145	3	148	636
101	132	1	133	576
102	121	5	126	585
103	103	1	104	617
104	114	2	116	577
105	110	1	111	573
106	114	3	117	566
107	122	3	125	580
108	103	2	105	562
109	125	4	129	563
110	119	3	122	530
111	92	1	93	573
112	100	4	104	565
113	86	2	88	517
114	102	1	103	500
115	95	3	98	534
116	101	1	102	521
117	118	6	124	557
118	117	2	119	491
119	94	5	99	508
120	93	1	94	484
121	91	3	94	506
122	95	5	100	485
123	105	3	108	446
124	88	5	93	513
125	119	3	122	554
126	93	1	94	515
127	87	2	89	498
128	89	4	93	486
129	85	7	92	499
130	85	3	88	458
131	91	2	93	472
132	89	3	92	486
133	90	3	93	422
134	83	5	88	452
135	74	3	77	473
136	90	1	91	455
137	87	3	90	442
138	86	7	93	476
139	82	3	85	438
140	83	2	85	432
141	75	4	79	388
142	80	4	84	425
143	72	6	78	452
144	81	3	84	454
145	90	2	92	434
146	77	3	80	474
147	76	2	78	445
148	89	1	90	439
149	59	4	63	401
150	75	2	77	393
151	84	4	88	364
152	83	1	84	383
153	86	2	88	414
154	78	5	83	381
155	60	0	60	434
156	68	2	70	397
157	75	6	81	401
158	76	2	78	385
159	64	3	67	387
160	82	7	89	405
161	58	2	60	369
162	55	8	63	387
163	62	3	65	364
164	51	4	55	359
165	87	3	90	340
166	64	6	70	390
167	57	5	62	356
168	61	7	68	405
169	53	4	57	339
170	71	3	74	350
171	75	8	83	359
172	70	6	76	350
173	67	4	71	360
174	76	8	84	366
175	62	6	68	348
176	65	5	70	392
177	72	1	73	355
178	61	5	66	337
179	54	2	56	349
180	72	9	81	360
181	62	5	67	383
182	64	4	68	317
183	61	6	67	346
184	56	3	59	374
185	47	8	55	350
186	68	10	78	333
187	52	4	56	340
188	64	3	67	323
189	62	4	66	323
190	65	6	71	357
191	57	2	59	339
192	52	6	58	314
193	75	3	78	335
194	82	3	85	327
195	47	7	54	342
196	60	13	73	326
197	87	8	95	340
198	67	4	71	333
199	48	8	56	348
