	sfsN_d	sfsN_a	sfsN	sfsS
0	56305	1464	57769	65089
1	19970	753	20723	30853
2	10966	508	11474	19491
3	7062	403	7465	13757
4	4923	293	5216	10195
5	3808	256	4064	8119
6	2932	226	3158	6694
7	2285	183	2468	5361
8	1951	202	2153	4631
9	1614	155	1769	4199
10	1378	129	1507	3574
11	1239	133	1372	3076
12	1040	119	1159	2769
13	927	133	1060	2564
14	783	113	896	2227
15	840	97	937	2074
16	630	99	729	1916
17	574	80	654	1711
18	548	97	645	1593
19	528	71	599	1446
20	466	96	562	1390
21	450	65	515	1292
22	389	76	465	1159
23	350	77	427	1129
24	308	75	383	1071
25	324	60	384	977
26	296	59	355	939
27	276	61	337	888
28	268	55	323	854
29	249	65	314	770
30	215	53	268	782
31	212	59	271	706
32	187	55	242	672
33	198	45	243	659
34	202	39	241	600
35	195	56	251	563
36	169	55	224	550
37	173	59	232	534
38	150	61	211	490
39	121	47	168	488
40	151	42	193	494
41	156	46	202	475
42	126	43	169	434
43	109	40	149	436
44	119	55	174	388
45	137	39	176	380
46	102	40	142	371
47	100	39	139	358
48	116	33	149	346
49	91	46	137	331
50	92	34	126	335
51	104	35	139	335
52	81	35	116	340
53	88	36	124	304
54	97	35	132	265
55	77	36	113	308
56	80	37	117	293
57	65	30	95	255
58	69	24	93	258
59	60	38	98	238
60	78	31	109	244
61	61	38	99	220
62	67	41	108	232
63	57	46	103	244
64	67	39	106	223
65	58	28	86	191
66	56	29	85	222
67	61	39	100	196
68	58	37	95	206
69	67	39	106	204
70	69	31	100	197
71	47	33	80	206
72	43	32	75	184
73	57	28	85	191
74	43	36	79	163
75	48	27	75	178
76	35	37	72	175
77	34	28	62	163
78	48	24	72	169
79	35	41	76	138
80	43	18	61	142
81	38	37	75	136
82	42	30	72	169
83	37	29	66	140
84	38	21	59	154
85	38	30	68	136
86	32	24	56	142
87	32	25	57	149
88	39	24	63	146
89	33	33	66	125
90	31	31	62	141
91	35	28	63	138
92	35	33	68	138
93	35	35	70	143
94	27	31	58	127
95	27	33	60	122
96	36	14	50	101
97	34	26	60	124
98	32	26	58	126
99	36	28	64	111
100	28	28	56	119
101	24	28	52	133
102	27	20	47	112
103	24	28	52	103
104	30	20	50	108
105	23	23	46	96
106	37	26	63	102
107	24	33	57	117
108	41	36	77	108
109	27	33	60	97
110	24	22	46	96
111	29	32	61	106
112	24	26	50	91
113	25	35	60	106
114	40	30	70	109
115	24	27	51	118
116	27	30	57	115
117	26	26	52	88
118	23	24	47	84
119	31	34	65	78
120	24	23	47	97
121	27	31	58	93
122	28	31	59	91
123	23	45	68	77
124	28	28	56	98
125	24	32	56	84
126	32	26	58	79
127	28	37	65	96
128	28	24	52	84
129	22	31	53	98
130	18	36	54	77
131	23	30	53	80
132	34	25	59	101
133	22	45	67	95
134	32	35	67	91
135	25	32	57	96
136	30	33	63	106
137	31	36	67	86
138	33	43	76	92
139	26	27	53	96
140	24	28	52	94
141	22	37	59	77
142	28	48	76	98
143	34	35	69	82
144	25	33	58	98
145	22	35	57	89
146	20	27	47	83
147	21	33	54	103
148	23	30	53	86
149	19	32	51	79
150	23	45	68	85
151	29	42	71	87
152	15	42	57	81
153	26	44	70	94
154	21	38	59	77
155	25	49	74	89
156	29	38	67	108
157	26	39	65	102
158	28	42	70	91
159	25	52	77	103
160	31	50	81	103
161	15	53	68	111
162	33	46	79	110
163	26	39	65	106
164	32	48	80	108
165	30	39	69	78
166	26	50	76	96
167	21	52	73	99
168	19	52	71	106
169	20	66	86	128
170	27	55	82	103
171	20	45	65	101
172	28	64	92	90
173	30	62	92	105
174	22	71	93	113
175	23	57	80	115
176	47	52	99	118
177	30	68	98	118
178	36	56	92	125
179	30	85	115	122
180	25	74	99	115
181	30	79	109	131
182	32	92	124	123
183	30	73	103	127
184	26	94	120	122
185	38	105	143	139
186	54	105	159	135
187	36	113	149	147
188	38	97	135	121
189	43	108	151	146
190	53	140	193	161
191	46	133	179	196
192	47	138	185	193
193	46	156	202	148
194	43	177	220	165
195	61	222	283	202
196	68	295	363	196
197	48	308	356	253
198	73	325	398	258
199	79	440	519	294
