	sfsN_d	sfsN_a	sfsN	sfsS
0	46082	1573	47655	48351
1	12551	809	13360	17247
2	5793	546	6339	8837
3	3143	384	3527	5205
4	1969	342	2311	3419
5	1274	264	1538	2450
6	990	220	1210	1829
7	726	200	926	1436
8	603	185	788	1079
9	458	148	606	850
10	392	155	547	734
11	291	113	404	674
12	288	132	420	538
13	224	110	334	457
14	207	112	319	396
15	191	105	296	375
16	176	107	283	335
17	150	85	235	292
18	132	83	215	265
19	128	76	204	231
20	92	71	163	216
21	87	70	157	203
22	80	59	139	179
23	81	73	154	153
24	70	71	141	165
25	54	55	109	145
26	64	68	132	142
27	55	64	119	143
28	70	53	123	131
29	64	51	115	119
30	51	51	102	120
31	35	46	81	101
32	40	62	102	93
33	41	52	93	117
34	49	52	101	104
35	32	44	76	90
36	40	51	91	80
37	30	45	75	88
38	31	40	71	81
39	41	52	93	67
40	25	42	67	79
41	31	39	70	69
42	26	40	66	64
43	30	42	72	66
44	26	46	72	53
45	19	36	55	54
46	29	47	76	49
47	19	38	57	59
48	20	33	53	54
49	26	45	71	43
50	35	48	83	41
51	14	37	51	51
52	18	33	51	51
53	19	28	47	51
54	24	45	69	40
55	23	37	60	50
56	16	33	49	37
57	15	46	61	37
58	15	32	47	31
59	14	37	51	32
60	21	34	55	37
61	10	32	42	36
62	15	38	53	41
63	16	33	49	41
64	13	31	44	39
65	18	35	53	36
66	21	27	48	21
67	14	36	50	37
68	10	39	49	35
69	13	43	56	33
70	7	30	37	30
71	12	29	41	32
72	15	36	51	31
73	12	26	38	27
74	17	29	46	22
75	8	27	35	38
76	8	26	34	26
77	19	28	47	21
78	16	27	43	30
79	14	26	40	32
80	9	30	39	24
81	14	26	40	32
82	18	33	51	25
83	11	39	50	32
84	7	21	28	20
85	17	28	45	25
86	8	18	26	18
87	10	36	46	24
88	15	22	37	26
89	11	27	38	20
90	10	31	41	20
91	12	25	37	33
92	10	29	39	20
93	11	22	33	24
94	13	26	39	23
95	15	23	38	20
96	8	35	43	13
97	7	26	33	23
98	7	30	37	20
99	6	28	34	22
100	6	26	32	19
101	10	21	31	30
102	10	23	33	28
103	7	21	28	19
104	8	38	46	18
105	7	32	39	14
106	13	33	46	16
107	7	23	30	14
108	10	26	36	22
109	13	24	37	24
110	8	27	35	15
111	8	24	32	14
112	8	27	35	19
113	9	26	35	14
114	9	24	33	12
115	7	24	31	13
116	2	23	25	15
117	8	37	45	24
118	9	22	31	11
119	8	23	31	21
120	4	25	29	19
121	4	30	34	21
122	7	26	33	28
123	7	28	35	16
124	12	27	39	20
125	9	26	35	18
126	7	34	41	17
127	11	33	44	21
128	4	28	32	20
129	10	38	48	18
130	7	29	36	18
131	7	30	37	13
132	9	26	35	18
133	7	27	34	10
134	6	32	38	19
135	5	32	37	14
136	6	30	36	16
137	5	29	34	23
138	9	45	54	17
139	10	26	36	14
140	8	31	39	19
141	6	23	29	14
142	2	36	38	14
143	3	44	47	10
144	6	35	41	21
145	7	31	38	19
146	11	38	49	27
147	10	38	48	18
148	7	36	43	12
149	6	47	53	11
150	8	34	42	16
151	7	36	43	13
152	12	43	55	16
153	9	34	43	12
154	13	42	55	15
155	6	42	48	22
156	7	25	32	15
157	8	35	43	19
158	9	35	44	14
159	4	43	47	17
160	3	38	41	19
161	5	40	45	18
162	16	49	65	22
163	13	45	58	21
164	11	38	49	18
165	4	41	45	19
166	10	52	62	25
167	8	43	51	21
168	7	52	59	26
169	7	50	57	21
170	12	41	53	20
171	16	51	67	26
172	8	54	62	21
173	16	48	64	29
174	8	54	62	29
175	16	65	81	25
176	14	69	83	16
177	6	62	68	22
178	12	53	65	21
179	13	67	80	27
180	12	67	79	30
181	11	64	75	30
182	8	80	88	22
183	10	91	101	32
184	15	83	98	26
185	19	107	126	31
186	11	107	118	42
187	24	120	144	40
188	14	142	156	37
189	22	139	161	42
190	32	119	151	50
191	19	144	163	34
192	18	182	200	41
193	26	224	250	61
194	31	212	243	62
195	36	257	293	72
196	45	314	359	83
197	42	420	462	103
198	54	613	667	126
199	97	998	1095	185
